,Unnamed: 0,task,response,choices,domain,response_type,id,sequence,rt,enc_task,enc_response,gender,education,guessed,task_opinion1,effort_finding_answer,like_syllog,strategy,strategy_description,quantifier_most,tired,attentive,certain,serious_participation,study_comment,similar_experiments,session,syl_group,syl_type,resp_group,resp_type,correct,valid,year,generalized
1482,1482,Some not;skaters;climbers/Some not;therapists;skaters,NVC,All;climbers;therapists|All;therapists;climbers|No;climbers;therapists|No;therapists;climbers|Some;climbers;therapists|Some;therapists;climbers|Some not;climbers;therapists|Some not;therapists;climbers|Most;climbers;therapists|Most;therapists;climbers|Most not;climbers;therapists|Most not;therapists;climbers|NVC,syllogistic-generalized,single-choice,21_participant_18,42,13709.0,OO2,NVC,male,bachelors,6,92,100,86,yes,If not all joggers are potters then not all analysts can be potters since all analysts are joggers but not all potters are joggers. And if I sound a little confused it's because it's confusing to me.,no,16,99,10,yes,I really did try my best.,"no, I haven't done any experiment like this. All experiments I've taken are not like these ;)",1,OO,ee,NVC,NVC,True,False,2021,False
1485,1485,Some;poets;skaters/No;poets;miners,Some not;skaters;miners,All;skaters;miners|All;miners;skaters|No;skaters;miners|No;miners;skaters|Some;skaters;miners|Some;miners;skaters|Some not;skaters;miners|Some not;miners;skaters|Most;skaters;miners|Most;miners;skaters|Most not;skaters;miners|Most not;miners;skaters|NVC,syllogistic-generalized,single-choice,21_participant_18,45,25227.0,IE4,Oac,male,bachelors,6,92,100,86,yes,If not all joggers are potters then not all analysts can be potters since all analysts are joggers but not all potters are joggers. And if I sound a little confused it's because it's confusing to me.,no,16,99,10,yes,I really did try my best.,"no, I haven't done any experiment like this. All experiments I've taken are not like these ;)",1,EI,ue,O,e,True,True,2021,False
1488,1488,All;drillers;actors/Some;actors;nurses,NVC,All;drillers;nurses|All;nurses;drillers|No;drillers;nurses|No;nurses;drillers|Some;drillers;nurses|Some;nurses;drillers|Some not;drillers;nurses|Some not;nurses;drillers|Most;drillers;nurses|Most;nurses;drillers|Most not;drillers;nurses|Most not;nurses;drillers|NVC,syllogistic-generalized,single-choice,21_participant_18,48,7741.0,AI1,NVC,male,bachelors,6,92,100,86,yes,If not all joggers are potters then not all analysts can be potters since all analysts are joggers but not all potters are joggers. And if I sound a little confused it's because it's confusing to me.,no,16,99,10,yes,I really did try my best.,"no, I haven't done any experiment like this. All experiments I've taken are not like these ;)",1,AI,ue,NVC,NVC,True,False,2021,False
1492,1492,No;soldiers;editors/Some;soldiers;florists,Some not;editors;florists,All;editors;florists|All;florists;editors|No;editors;florists|No;florists;editors|Some;editors;florists|Some;florists;editors|Some not;editors;florists|Some not;florists;editors|Most;editors;florists|Most;florists;editors|Most not;editors;florists|Most not;florists;editors|NVC,syllogistic-generalized,single-choice,21_participant_18,52,16230.0,EI4,Oac,male,bachelors,26,72,98,95,yes,"Well, I don't know the population sizes. So the population size of joggers may be very large and even though all analysts are joggers we don't know that those potters that are joggers are also analysts. I don't remember my response but I think this means it can't be solved.",no,55,97,41,yes,I thought I did better this round (I hope I did). I thought I also figured out what I was going to answer quicker than I did in the first experiment.,Only the one from yesterday. I haven't otherwise done something like this.,2,EI,ue,O,e,False,True,2021,False
1493,1493,Some;therapists;skaters/Some;therapists;climbers,NVC,All;skaters;climbers|All;climbers;skaters|No;skaters;climbers|No;climbers;skaters|Some;skaters;climbers|Some;climbers;skaters|Some not;skaters;climbers|Some not;climbers;skaters|Most;skaters;climbers|Most;climbers;skaters|Most not;skaters;climbers|Most not;climbers;skaters|NVC,syllogistic-generalized,single-choice,21_participant_18,53,39288.0,II4,NVC,male,bachelors,26,72,98,95,yes,"Well, I don't know the population sizes. So the population size of joggers may be very large and even though all analysts are joggers we don't know that those potters that are joggers are also analysts. I don't remember my response but I think this means it can't be solved.",no,55,97,41,yes,I thought I did better this round (I hope I did). I thought I also figured out what I was going to answer quicker than I did in the first experiment.,Only the one from yesterday. I haven't otherwise done something like this.,2,II,ee,NVC,NVC,True,False,2021,False
1494,1494,All;chefs;scientists/No;scientists;runners,No;chefs;runners,All;chefs;runners|All;runners;chefs|No;chefs;runners|No;runners;chefs|Some;chefs;runners|Some;runners;chefs|Some not;chefs;runners|Some not;runners;chefs|Most;chefs;runners|Most;runners;chefs|Most not;chefs;runners|Most not;runners;chefs|NVC,syllogistic-generalized,single-choice,21_participant_18,54,12808.0,AE1,Eac,male,bachelors,26,72,98,95,yes,"Well, I don't know the population sizes. So the population size of joggers may be very large and even though all analysts are joggers we don't know that those potters that are joggers are also analysts. I don't remember my response but I think this means it can't be solved.",no,55,97,41,yes,I thought I did better this round (I hope I did). I thought I also figured out what I was going to answer quicker than I did in the first experiment.,Only the one from yesterday. I haven't otherwise done something like this.,2,AE,uu,E,u,True,True,2021,False
1500,1500,Some not;workers;painters/All;workers;actors,Most;actors;painters,All;painters;actors|All;actors;painters|No;painters;actors|No;actors;painters|Some;painters;actors|Some;actors;painters|Some not;painters;actors|Some not;actors;painters|Most;painters;actors|Most;actors;painters|Most not;painters;actors|Most not;actors;painters|NVC,syllogistic-generalized,single-choice,21_participant_18,60,36800.0,OA4,Tca,male,bachelors,26,72,98,95,yes,"Well, I don't know the population sizes. So the population size of joggers may be very large and even though all analysts are joggers we don't know that those potters that are joggers are also analysts. I don't remember my response but I think this means it can't be solved.",no,55,97,41,yes,I thought I did better this round (I hope I did). I thought I also figured out what I was going to answer quicker than I did in the first experiment.,Only the one from yesterday. I haven't otherwise done something like this.,2,AO,ue,T,g,False,True,2021,False
1501,1501,Some not;novelists;analysts/No;travelers;analysts,Most not;travelers;novelists,All;novelists;travelers|All;travelers;novelists|No;novelists;travelers|No;travelers;novelists|Some;novelists;travelers|Some;travelers;novelists|Some not;novelists;travelers|Some not;travelers;novelists|Most;novelists;travelers|Most;travelers;novelists|Most not;novelists;travelers|Most not;travelers;novelists|NVC,syllogistic-generalized,single-choice,21_participant_18,61,27256.0,OE3,Dca,male,bachelors,26,72,98,95,yes,"Well, I don't know the population sizes. So the population size of joggers may be very large and even though all analysts are joggers we don't know that those potters that are joggers are also analysts. I don't remember my response but I think this means it can't be solved.",no,55,97,41,yes,I thought I did better this round (I hope I did). I thought I also figured out what I was going to answer quicker than I did in the first experiment.,Only the one from yesterday. I haven't otherwise done something like this.,2,EO,ue,D,g,False,False,2021,False
1502,1502,All;auditors;painters/All;cleaners;painters,NVC,All;auditors;cleaners|All;cleaners;auditors|No;auditors;cleaners|No;cleaners;auditors|Some;auditors;cleaners|Some;cleaners;auditors|Some not;auditors;cleaners|Some not;cleaners;auditors|Most;auditors;cleaners|Most;cleaners;auditors|Most not;auditors;cleaners|Most not;cleaners;auditors|NVC,syllogistic-generalized,single-choice,21_participant_18,62,11238.0,AA3,NVC,male,bachelors,26,72,98,95,yes,"Well, I don't know the population sizes. So the population size of joggers may be very large and even though all analysts are joggers we don't know that those potters that are joggers are also analysts. I don't remember my response but I think this means it can't be solved.",no,55,97,41,yes,I thought I did better this round (I hope I did). I thought I also figured out what I was going to answer quicker than I did in the first experiment.,Only the one from yesterday. I haven't otherwise done something like this.,2,AA,uu,NVC,NVC,True,False,2021,False
1505,1505,Some;scholars;assistants/Some;assistants;farmers,NVC,All;scholars;farmers|All;farmers;scholars|No;scholars;farmers|No;farmers;scholars|Some;scholars;farmers|Some;farmers;scholars|Some not;scholars;farmers|Some not;farmers;scholars|Most;scholars;farmers|Most;farmers;scholars|Most not;scholars;farmers|Most not;farmers;scholars|NVC,syllogistic-generalized,single-choice,21_participant_18,65,14280.0,II1,NVC,male,bachelors,26,72,98,95,yes,"Well, I don't know the population sizes. So the population size of joggers may be very large and even though all analysts are joggers we don't know that those potters that are joggers are also analysts. I don't remember my response but I think this means it can't be solved.",no,55,97,41,yes,I thought I did better this round (I hope I did). I thought I also figured out what I was going to answer quicker than I did in the first experiment.,Only the one from yesterday. I haven't otherwise done something like this.,2,II,ee,NVC,NVC,True,False,2021,False
1506,1506,Some;tellers;climbers/Some not;climbers;doctors,Some;doctors;tellers,All;tellers;doctors|All;doctors;tellers|No;tellers;doctors|No;doctors;tellers|Some;tellers;doctors|Some;doctors;tellers|Some not;tellers;doctors|Some not;doctors;tellers|Most;tellers;doctors|Most;doctors;tellers|Most not;tellers;doctors|Most not;doctors;tellers|NVC,syllogistic-generalized,single-choice,21_participant_18,66,20767.0,IO1,Ica,male,bachelors,26,72,98,95,yes,"Well, I don't know the population sizes. So the population size of joggers may be very large and even though all analysts are joggers we don't know that those potters that are joggers are also analysts. I don't remember my response but I think this means it can't be solved.",no,55,97,41,yes,I thought I did better this round (I hope I did). I thought I also figured out what I was going to answer quicker than I did in the first experiment.,Only the one from yesterday. I haven't otherwise done something like this.,2,IO,ee,I,e,False,False,2021,False
1507,1507,All;swimmers;cooks/No;mayors;cooks,No;swimmers;mayors,All;swimmers;mayors|All;mayors;swimmers|No;swimmers;mayors|No;mayors;swimmers|Some;swimmers;mayors|Some;mayors;swimmers|Some not;swimmers;mayors|Some not;mayors;swimmers|Most;swimmers;mayors|Most;mayors;swimmers|Most not;swimmers;mayors|Most not;mayors;swimmers|NVC,syllogistic-generalized,single-choice,21_participant_18,67,8584.0,AE3,Eac,male,bachelors,26,72,98,95,yes,"Well, I don't know the population sizes. So the population size of joggers may be very large and even though all analysts are joggers we don't know that those potters that are joggers are also analysts. I don't remember my response but I think this means it can't be solved.",no,55,97,41,yes,I thought I did better this round (I hope I did). I thought I also figured out what I was going to answer quicker than I did in the first experiment.,Only the one from yesterday. I haven't otherwise done something like this.,2,AE,uu,E,u,True,True,2021,False
1509,1509,All;climbers;therapists/Some;skaters;climbers,Some;skaters;therapists,All;therapists;skaters|All;skaters;therapists|No;therapists;skaters|No;skaters;therapists|Some;therapists;skaters|Some;skaters;therapists|Some not;therapists;skaters|Some not;skaters;therapists|Most;therapists;skaters|Most;skaters;therapists|Most not;therapists;skaters|Most not;skaters;therapists|NVC,syllogistic-generalized,single-choice,21_participant_18,69,15488.0,AI2,Ica,male,bachelors,26,72,98,95,yes,"Well, I don't know the population sizes. So the population size of joggers may be very large and even though all analysts are joggers we don't know that those potters that are joggers are also analysts. I don't remember my response but I think this means it can't be solved.",no,55,97,41,yes,I thought I did better this round (I hope I did). I thought I also figured out what I was going to answer quicker than I did in the first experiment.,Only the one from yesterday. I haven't otherwise done something like this.,2,AI,ue,I,e,True,True,2021,False
1511,1511,No;potters;chemists/No;sailors;potters,NVC,All;chemists;sailors|All;sailors;chemists|No;chemists;sailors|No;sailors;chemists|Some;chemists;sailors|Some;sailors;chemists|Some not;chemists;sailors|Some not;sailors;chemists|Most;chemists;sailors|Most;sailors;chemists|Most not;chemists;sailors|Most not;sailors;chemists|NVC,syllogistic-generalized,single-choice,21_participant_18,71,64849.0,EE2,NVC,male,bachelors,26,72,98,95,yes,"Well, I don't know the population sizes. So the population size of joggers may be very large and even though all analysts are joggers we don't know that those potters that are joggers are also analysts. I don't remember my response but I think this means it can't be solved.",no,55,97,41,yes,I thought I did better this round (I hope I did). I thought I also figured out what I was going to answer quicker than I did in the first experiment.,Only the one from yesterday. I haven't otherwise done something like this.,2,EE,uu,NVC,NVC,True,False,2021,False
1512,1512,No;athletes;lawyers/Some not;athletes;hunters,Some not;lawyers;hunters,All;lawyers;hunters|All;hunters;lawyers|No;lawyers;hunters|No;hunters;lawyers|Some;lawyers;hunters|Some;hunters;lawyers|Some not;lawyers;hunters|Some not;hunters;lawyers|Most;lawyers;hunters|Most;hunters;lawyers|Most not;lawyers;hunters|Most not;hunters;lawyers|NVC,syllogistic-generalized,single-choice,21_participant_18,72,17423.0,EO4,Oac,male,bachelors,26,72,98,95,yes,"Well, I don't know the population sizes. So the population size of joggers may be very large and even though all analysts are joggers we don't know that those potters that are joggers are also analysts. I don't remember my response but I think this means it can't be solved.",no,55,97,41,yes,I thought I did better this round (I hope I did). I thought I also figured out what I was going to answer quicker than I did in the first experiment.,Only the one from yesterday. I haven't otherwise done something like this.,2,EO,ue,O,e,False,False,2021,False
1516,1516,Some not;architects;trainers/All;designers;trainers,Some;designers;architects,All;architects;designers|All;designers;architects|No;architects;designers|No;designers;architects|Some;architects;designers|Some;designers;architects|Some not;architects;designers|Some not;designers;architects|Most;architects;designers|Most;designers;architects|Most not;architects;designers|Most not;designers;architects|NVC,syllogistic-generalized,single-choice,21_participant_18,76,18207.0,OA3,Ica,male,bachelors,26,72,98,95,yes,"Well, I don't know the population sizes. So the population size of joggers may be very large and even though all analysts are joggers we don't know that those potters that are joggers are also analysts. I don't remember my response but I think this means it can't be solved.",no,55,97,41,yes,I thought I did better this round (I hope I did). I thought I also figured out what I was going to answer quicker than I did in the first experiment.,Only the one from yesterday. I haven't otherwise done something like this.,2,AO,ue,I,e,False,True,2021,False
1518,1518,No;cashiers;waiters/All;poets;waiters,No;poets;cashiers,All;cashiers;poets|All;poets;cashiers|No;cashiers;poets|No;poets;cashiers|Some;cashiers;poets|Some;poets;cashiers|Some not;cashiers;poets|Some not;poets;cashiers|Most;cashiers;poets|Most;poets;cashiers|Most not;cashiers;poets|Most not;poets;cashiers|NVC,syllogistic-generalized,single-choice,21_participant_18,78,27975.0,EA3,Eca,male,bachelors,26,72,98,95,yes,"Well, I don't know the population sizes. So the population size of joggers may be very large and even though all analysts are joggers we don't know that those potters that are joggers are also analysts. I don't remember my response but I think this means it can't be solved.",no,55,97,41,yes,I thought I did better this round (I hope I did). I thought I also figured out what I was going to answer quicker than I did in the first experiment.,Only the one from yesterday. I haven't otherwise done something like this.,2,AE,uu,E,u,True,True,2021,False
1520,1520,All;painters;auditors/Some not;cleaners;auditors,Some not;painters;cleaners,All;painters;cleaners|All;cleaners;painters|No;painters;cleaners|No;cleaners;painters|Some;painters;cleaners|Some;cleaners;painters|Some not;painters;cleaners|Some not;cleaners;painters|Most;painters;cleaners|Most;cleaners;painters|Most not;painters;cleaners|Most not;cleaners;painters|NVC,syllogistic-generalized,single-choice,21_participant_18,80,12520.0,AO3,Oac,male,bachelors,26,72,98,95,yes,"Well, I don't know the population sizes. So the population size of joggers may be very large and even though all analysts are joggers we don't know that those potters that are joggers are also analysts. I don't remember my response but I think this means it can't be solved.",no,55,97,41,yes,I thought I did better this round (I hope I did). I thought I also figured out what I was going to answer quicker than I did in the first experiment.,Only the one from yesterday. I haven't otherwise done something like this.,2,AO,ue,O,e,False,True,2021,False
1523,1523,All;florists;soldiers/Some not;editors;florists,Some;soldiers;editors,All;soldiers;editors|All;editors;soldiers|No;soldiers;editors|No;editors;soldiers|Some;soldiers;editors|Some;editors;soldiers|Some not;soldiers;editors|Some not;editors;soldiers|Most;soldiers;editors|Most;editors;soldiers|Most not;soldiers;editors|Most not;editors;soldiers|NVC,syllogistic-generalized,single-choice,21_participant_18,83,20679.0,AO2,Iac,male,bachelors,26,72,98,95,yes,"Well, I don't know the population sizes. So the population size of joggers may be very large and even though all analysts are joggers we don't know that those potters that are joggers are also analysts. I don't remember my response but I think this means it can't be solved.",no,55,97,41,yes,I thought I did better this round (I hope I did). I thought I also figured out what I was going to answer quicker than I did in the first experiment.,Only the one from yesterday. I haven't otherwise done something like this.,2,AO,ue,I,e,False,False,2021,False
1525,1525,All;tailors;singers/All;pilots;tailors,All;pilots;singers,All;singers;pilots|All;pilots;singers|No;singers;pilots|No;pilots;singers|Some;singers;pilots|Some;pilots;singers|Some not;singers;pilots|Some not;pilots;singers|Most;singers;pilots|Most;pilots;singers|Most not;singers;pilots|Most not;pilots;singers|NVC,syllogistic-generalized,single-choice,21_participant_18,85,10664.0,AA2,Aca,male,bachelors,26,72,98,95,yes,"Well, I don't know the population sizes. So the population size of joggers may be very large and even though all analysts are joggers we don't know that those potters that are joggers are also analysts. I don't remember my response but I think this means it can't be solved.",no,55,97,41,yes,I thought I did better this round (I hope I did). I thought I also figured out what I was going to answer quicker than I did in the first experiment.,Only the one from yesterday. I haven't otherwise done something like this.,2,AA,uu,A,u,True,True,2021,False
1527,1527,Some not;hikers;drivers/Some;drivers;writers,NVC,All;hikers;writers|All;writers;hikers|No;hikers;writers|No;writers;hikers|Some;hikers;writers|Some;writers;hikers|Some not;hikers;writers|Some not;writers;hikers|Most;hikers;writers|Most;writers;hikers|Most not;hikers;writers|Most not;writers;hikers|NVC,syllogistic-generalized,single-choice,21_participant_18,87,1407.0,OI1,NVC,male,bachelors,26,72,98,95,yes,"Well, I don't know the population sizes. So the population size of joggers may be very large and even though all analysts are joggers we don't know that those potters that are joggers are also analysts. I don't remember my response but I think this means it can't be solved.",no,55,97,41,yes,I thought I did better this round (I hope I did). I thought I also figured out what I was going to answer quicker than I did in the first experiment.,Only the one from yesterday. I haven't otherwise done something like this.,2,IO,ee,NVC,NVC,True,False,2021,False
1529,1529,Some not;models;managers/Some not;models;clerks,NVC,All;managers;clerks|All;clerks;managers|No;managers;clerks|No;clerks;managers|Some;managers;clerks|Some;clerks;managers|Some not;managers;clerks|Some not;clerks;managers|Most;managers;clerks|Most;clerks;managers|Most not;managers;clerks|Most not;clerks;managers|NVC,syllogistic-generalized,single-choice,21_participant_18,89,1856.0,OO4,NVC,male,bachelors,26,72,98,95,yes,"Well, I don't know the population sizes. So the population size of joggers may be very large and even though all analysts are joggers we don't know that those potters that are joggers are also analysts. I don't remember my response but I think this means it can't be solved.",no,55,97,41,yes,I thought I did better this round (I hope I did). I thought I also figured out what I was going to answer quicker than I did in the first experiment.,Only the one from yesterday. I haven't otherwise done something like this.,2,OO,ee,NVC,NVC,True,False,2021,False
1532,1532,Some;models;clerks/No;managers;models,Some not;managers;clerks,All;clerks;managers|All;managers;clerks|No;clerks;managers|No;managers;clerks|Some;clerks;managers|Some;managers;clerks|Some not;clerks;managers|Some not;managers;clerks|Most;clerks;managers|Most;managers;clerks|Most not;clerks;managers|Most not;managers;clerks|NVC,syllogistic-generalized,single-choice,21_participant_18,92,24280.0,IE2,Oca,male,bachelors,26,72,98,95,yes,"Well, I don't know the population sizes. So the population size of joggers may be very large and even though all analysts are joggers we don't know that those potters that are joggers are also analysts. I don't remember my response but I think this means it can't be solved.",no,55,97,41,yes,I thought I did better this round (I hope I did). I thought I also figured out what I was going to answer quicker than I did in the first experiment.,Only the one from yesterday. I haven't otherwise done something like this.,2,EI,ue,O,e,False,True,2021,False
1533,1533,Some not;analysts;travelers/No;novelists;analysts,Some not;travelers;novelists,All;travelers;novelists|All;novelists;travelers|No;travelers;novelists|No;novelists;travelers|Some;travelers;novelists|Some;novelists;travelers|Some not;travelers;novelists|Some not;novelists;travelers|Most;travelers;novelists|Most;novelists;travelers|Most not;travelers;novelists|Most not;novelists;travelers|NVC,syllogistic-generalized,single-choice,21_participant_18,93,17511.0,OE2,Oac,male,bachelors,26,72,98,95,yes,"Well, I don't know the population sizes. So the population size of joggers may be very large and even though all analysts are joggers we don't know that those potters that are joggers are also analysts. I don't remember my response but I think this means it can't be solved.",no,55,97,41,yes,I thought I did better this round (I hope I did). I thought I also figured out what I was going to answer quicker than I did in the first experiment.,Only the one from yesterday. I haven't otherwise done something like this.,2,EO,ue,O,e,False,False,2021,False
1537,1537,All;agents;brokers/Some not;brokers;secretaries,Some not;agents;secretaries,All;agents;secretaries|All;secretaries;agents|No;agents;secretaries|No;secretaries;agents|Some;agents;secretaries|Some;secretaries;agents|Some not;agents;secretaries|Some not;secretaries;agents|Most;agents;secretaries|Most;secretaries;agents|Most not;agents;secretaries|Most not;secretaries;agents|NVC,syllogistic-generalized,single-choice,21_participant_18,97,5079.0,AO1,Oac,male,bachelors,26,72,98,95,yes,"Well, I don't know the population sizes. So the population size of joggers may be very large and even though all analysts are joggers we don't know that those potters that are joggers are also analysts. I don't remember my response but I think this means it can't be solved.",no,55,97,41,yes,I thought I did better this round (I hope I did). I thought I also figured out what I was going to answer quicker than I did in the first experiment.,Only the one from yesterday. I haven't otherwise done something like this.,2,AO,ue,O,e,False,False,2021,False
1538,1538,Some not;boxers;typists/No;boxers;dancers,Some not;typists;dancers,All;typists;dancers|All;dancers;typists|No;typists;dancers|No;dancers;typists|Some;typists;dancers|Some;dancers;typists|Some not;typists;dancers|Some not;dancers;typists|Most;typists;dancers|Most;dancers;typists|Most not;typists;dancers|Most not;dancers;typists|NVC,syllogistic-generalized,single-choice,21_participant_18,98,13976.0,OE4,Oac,male,bachelors,26,72,98,95,yes,"Well, I don't know the population sizes. So the population size of joggers may be very large and even though all analysts are joggers we don't know that those potters that are joggers are also analysts. I don't remember my response but I think this means it can't be solved.",no,55,97,41,yes,I thought I did better this round (I hope I did). I thought I also figured out what I was going to answer quicker than I did in the first experiment.,Only the one from yesterday. I haven't otherwise done something like this.,2,EO,ue,O,e,False,False,2021,False
1539,1539,Some not;skaters;poets/All;poets;miners,Some;skaters;miners,All;skaters;miners|All;miners;skaters|No;skaters;miners|No;miners;skaters|Some;skaters;miners|Some;miners;skaters|Some not;skaters;miners|Some not;miners;skaters|Most;skaters;miners|Most;miners;skaters|Most not;skaters;miners|Most not;miners;skaters|NVC,syllogistic-generalized,single-choice,21_participant_18,99,20424.0,OA1,Iac,male,bachelors,26,72,98,95,yes,"Well, I don't know the population sizes. So the population size of joggers may be very large and even though all analysts are joggers we don't know that those potters that are joggers are also analysts. I don't remember my response but I think this means it can't be solved.",no,55,97,41,yes,I thought I did better this round (I hope I did). I thought I also figured out what I was going to answer quicker than I did in the first experiment.,Only the one from yesterday. I haven't otherwise done something like this.,2,AO,ue,I,e,False,False,2021,False
1546,1546,All;actors;workers/No;painters;actors,Some not;workers;painters,All;workers;painters|All;painters;workers|No;workers;painters|No;painters;workers|Some;workers;painters|Some;painters;workers|Some not;workers;painters|Some not;painters;workers|Most;workers;painters|Most;painters;workers|Most not;workers;painters|Most not;painters;workers|NVC,syllogistic-generalized,single-choice,21_participant_18,105,42515.0,AE2,Oac,male,bachelors,16,79,98,97,yes,"Well, I thought how even though all analysts were joggers there's till no connection between joggers and potters because I don't know the population of joggers and so even though there is some cross over between joggers and potters there could be enough joggers where it isn't necessary that there are any analysts that are potters.",no,30,97,40,yes,"I always believed that I thought logically but these exercises showed me that in reality, I am no expert in understanding more complex relations like these.",not besides these three experiments.,3,AE,uu,O,e,True,True,2021,False
1549,1549,Some not;artists;planners/All;surfers;artists,NVC,All;planners;surfers|All;surfers;planners|No;planners;surfers|No;surfers;planners|Some;planners;surfers|Some;surfers;planners|Some not;planners;surfers|Some not;surfers;planners|Most;planners;surfers|Most;surfers;planners|Most not;planners;surfers|Most not;surfers;planners|NVC,syllogistic-generalized,single-choice,21_participant_18,108,39219.0,OA2,NVC,male,bachelors,16,79,98,97,yes,"Well, I thought how even though all analysts were joggers there's till no connection between joggers and potters because I don't know the population of joggers and so even though there is some cross over between joggers and potters there could be enough joggers where it isn't necessary that there are any analysts that are potters.",no,30,97,40,yes,"I always believed that I thought logically but these exercises showed me that in reality, I am no expert in understanding more complex relations like these.",not besides these three experiments.,3,AO,ue,NVC,NVC,True,False,2021,False
1551,1551,Some not;dancers;typists/Some;dancers;boxers,NVC,All;typists;boxers|All;boxers;typists|No;typists;boxers|No;boxers;typists|Some;typists;boxers|Some;boxers;typists|Some not;typists;boxers|Some not;boxers;typists|Most;typists;boxers|Most;boxers;typists|Most not;typists;boxers|Most not;boxers;typists|NVC,syllogistic-generalized,single-choice,21_participant_18,110,9203.0,OI4,NVC,male,bachelors,16,79,98,97,yes,"Well, I thought how even though all analysts were joggers there's till no connection between joggers and potters because I don't know the population of joggers and so even though there is some cross over between joggers and potters there could be enough joggers where it isn't necessary that there are any analysts that are potters.",no,30,97,40,yes,"I always believed that I thought logically but these exercises showed me that in reality, I am no expert in understanding more complex relations like these.",not besides these three experiments.,3,IO,ee,NVC,NVC,True,False,2021,False
1553,1553,Some not;travelers;novelists/Some not;analysts;novelists,NVC,All;travelers;analysts|All;analysts;travelers|No;travelers;analysts|No;analysts;travelers|Some;travelers;analysts|Some;analysts;travelers|Some not;travelers;analysts|Some not;analysts;travelers|Most;travelers;analysts|Most;analysts;travelers|Most not;travelers;analysts|Most not;analysts;travelers|NVC,syllogistic-generalized,single-choice,21_participant_18,112,8011.0,OO3,NVC,male,bachelors,16,79,98,97,yes,"Well, I thought how even though all analysts were joggers there's till no connection between joggers and potters because I don't know the population of joggers and so even though there is some cross over between joggers and potters there could be enough joggers where it isn't necessary that there are any analysts that are potters.",no,30,97,40,yes,"I always believed that I thought logically but these exercises showed me that in reality, I am no expert in understanding more complex relations like these.",not besides these three experiments.,3,OO,ee,NVC,NVC,True,False,2021,False
1556,1556,Some;designers;architects/All;trainers;architects,NVC,All;designers;trainers|All;trainers;designers|No;designers;trainers|No;trainers;designers|Some;designers;trainers|Some;trainers;designers|Some not;designers;trainers|Some not;trainers;designers|Most;designers;trainers|Most;trainers;designers|Most not;designers;trainers|Most not;trainers;designers|NVC,syllogistic-generalized,single-choice,21_participant_18,115,12243.0,IA3,NVC,male,bachelors,16,79,98,97,yes,"Well, I thought how even though all analysts were joggers there's till no connection between joggers and potters because I don't know the population of joggers and so even though there is some cross over between joggers and potters there could be enough joggers where it isn't necessary that there are any analysts that are potters.",no,30,97,40,yes,"I always believed that I thought logically but these exercises showed me that in reality, I am no expert in understanding more complex relations like these.",not besides these three experiments.,3,AI,ue,NVC,NVC,True,False,2021,False
1557,1557,Some;miners;skaters/Some not;miners;poets,NVC,All;skaters;poets|All;poets;skaters|No;skaters;poets|No;poets;skaters|Some;skaters;poets|Some;poets;skaters|Some not;skaters;poets|Some not;poets;skaters|Most;skaters;poets|Most;poets;skaters|Most not;skaters;poets|Most not;poets;skaters|NVC,syllogistic-generalized,single-choice,21_participant_18,116,2947.0,IO4,NVC,male,bachelors,16,79,98,97,yes,"Well, I thought how even though all analysts were joggers there's till no connection between joggers and potters because I don't know the population of joggers and so even though there is some cross over between joggers and potters there could be enough joggers where it isn't necessary that there are any analysts that are potters.",no,30,97,40,yes,"I always believed that I thought logically but these exercises showed me that in reality, I am no expert in understanding more complex relations like these.",not besides these three experiments.,3,IO,ee,NVC,NVC,True,False,2021,False
1560,1560,No;managers;clerks/Some not;clerks;models,Some not;managers;models,All;managers;models|All;models;managers|No;managers;models|No;models;managers|Some;managers;models|Some;models;managers|Some not;managers;models|Some not;models;managers|Most;managers;models|Most;models;managers|Most not;managers;models|Most not;models;managers|NVC,syllogistic-generalized,single-choice,21_participant_18,119,11651.0,EO1,Oac,male,bachelors,16,79,98,97,yes,"Well, I thought how even though all analysts were joggers there's till no connection between joggers and potters because I don't know the population of joggers and so even though there is some cross over between joggers and potters there could be enough joggers where it isn't necessary that there are any analysts that are potters.",no,30,97,40,yes,"I always believed that I thought logically but these exercises showed me that in reality, I am no expert in understanding more complex relations like these.",not besides these three experiments.,3,EO,ue,O,e,False,False,2021,False
1563,1563,No;fencers;engineers/All;engineers;campers,Some not;fencers;campers,All;fencers;campers|All;campers;fencers|No;fencers;campers|No;campers;fencers|Some;fencers;campers|Some;campers;fencers|Some not;fencers;campers|Some not;campers;fencers|Most;fencers;campers|Most;campers;fencers|Most not;fencers;campers|Most not;campers;fencers|NVC,syllogistic-generalized,single-choice,21_participant_18,122,24963.0,EA1,Oac,male,bachelors,16,79,98,97,yes,"Well, I thought how even though all analysts were joggers there's till no connection between joggers and potters because I don't know the population of joggers and so even though there is some cross over between joggers and potters there could be enough joggers where it isn't necessary that there are any analysts that are potters.",no,30,97,40,yes,"I always believed that I thought logically but these exercises showed me that in reality, I am no expert in understanding more complex relations like these.",not besides these three experiments.,3,AE,uu,O,e,False,True,2021,False
